player_name,season,position,rookie_total_ppr_points,fantasy_relevant_binary,PC1,PC2,cluster
Sam Bradford,2010,QB,245.7,0.0,2.667097312645923,-0.42502102014571885,1
C.J. Spiller,2010,RB,95.2,0.0,-0.49594274540294014,1.9571091240048657,0
Ryan Mathews,2010,RB,158.3,0.0,-0.3445731770518152,-0.2627714971787367,2
Jermaine Gresham,2010,TE,112.1,0.0,0.2660685590494608,-1.9740565951179496,2
Demaryius Thomas,2010,WR,52.3,0.0,-0.8994640198858963,-0.6944151184152398,2
Dez Bryant,2010,WR,187.1,1.0,-1.1952519834952955,-1.0523111418191182,2
Tim Tebow,2010,QB,61.7,0.0,2.3932684412770944,1.780867246143709,1
Jahvid Best,2010,RB,218.8,1.0,-2.3072956666692406,1.015792322983588,0
Cam Newton,2011,QB,385.0,1.0,1.0146975712999955,-2.8961992247156583,2
A.J. Green,2011,WR,247.7,1.0,-0.12231641996225678,-0.8096698429083689,2
Julio Jones,2011,WR,180.9,1.0,-0.408058838213193,-0.7544858995224973,2
Jake Locker,2011,QB,18.7,0.0,1.7265616688897347,0.2999550684644601,1
Blaine Gabbert,2011,QB,135.3,0.0,1.1067614752093544,-1.3781347338666563,2
Christian Ponder,2011,QB,134.0,0.0,1.256984829320453,0.12065681923980481,1
Jonathan Baldwin,2011,WR,30.1,0.0,-0.8776733250310454,-0.8110861289051321,2
Mark Ingram,2011,RB,131.0,0.0,-1.4212215869728768,0.9987386620179283,0
Andrew Luck,2012,QB,339.7,1.0,3.0310337148677924,-0.40116242926672174,1
Robert Griffin-III,2012,QB,357.1,1.0,2.4009995192460596,0.9141670321149913,1
Trent Richardson,2012,RB,267.9,1.0,-0.3623169484140089,0.31984857644488957,0
Justin Blackmon,2012,WR,192.5,1.0,-0.17586844171394678,0.10440985527449148,0
Ryan Tannehill,2012,QB,250.6,0.0,1.5442298611710028,0.7002427058064525,1
Michael Floyd,2012,WR,65.2,0.0,-0.007019654344552061,-0.13494993778571102,2
Kendall Wright,2012,WR,189.6,1.0,-1.4739245330474129,2.2252740608135837,0
Brandon Weeden,2012,QB,219.8,0.0,3.0825585879048307,1.2960516575154644,1
A.J. Jenkins,2012,WR,0.0,0.0,-1.9244044711541315,1.3384114492367907,0
Doug Martin,2012,RB,319.6,1.0,-1.0067530154109379,2.4220714190418065,0
David Wilson,2012,RB,74.4,0.0,-2.1403862005175807,0.8792166759949874,0
Tavon Austin,2013,WR,151.8,0.0,-1.3282350643934182,2.848946829623162,0
EJ Manuel,2013,QB,171.9,0.0,1.7998561745030341,-0.06483459508955998,1
Tyler Eifert,2013,TE,65.5,0.0,0.02024580289649683,-2.4182054224516993,2
DeAndre Hopkins,2013,WR,159.2,1.0,-1.4323612032989235,0.12657008464616362,0
Cordarrelle Patterson,2013,WR,185.9,1.0,-2.0139617376459835,-2.075257510160843,2
Blake Bortles,2014,QB,200.9,0.0,2.217721907835532,-0.9534541465323539,1
